Country,Score,Code
Canada,3.9,CAN
United States,3.92,USA
Mexico,4.05,MEX
Colombia,4.01,COL
Ecuador,4.21,ECU
Chile,4.2,CHL
Peru,4.0,PER
Argentina,3.98,ARG
Uruguay,3.89,URY
Brazil,3.83,BRA
Portugal,4.07,PRT
Spain,3.96,ESP
Turkey,3.87,TUR
Ireland,4.01,IRL
United Kingdom,3.89,GBR
Belgium,3.8,BEL
Denmark,3.83,DNK
Netherlands,4.01,NLD
Finland,3.81,FIN
Russia,4.1,RUS
Germany,4.01,DEU
Switzerland,3.78,CHE
France,4.07,FRA
Italy,4.0,ITA
Norway,4.03,NOR
Poland,3.79,POL
Czechia,4.0,CZE
Austria,4.0,AUT
Greece,4.06,GRC
South Africa,3.83,ZAF
Kenya,4.38,KEN
Israel,3.84,ISR
Egypt,4.42,EGY
United Arab Emirates,3.87,ARE
India,3.95,IND
Pakistan,3.95,PAK
Sri Lanka,4.06,LKA
Bangladesh,4.24,BGD
Australia,3.8,AUS
China,3.89,CHN
New Zealand,3.96,NZL
Singapore,3.88,SGP
Indonesia,3.93,IDN
Malaysia,4.04,MYS
Philippines,3.94,PHL
Thailand,3.96,THA
Taiwan,3.96,TWN
Japan,4.06,JPN